date,SP01,SP02,SP03,SP04,SP05,WS01,WS02,WS03
2020.09.15 02:47,1.96,1.54,1.34,0.96,1.76,4.23,1.37,8.23
2020.09.15 02:48,3.72,2.35,18.27,2.93,2.31,6.35,4.62,4.11
2020.09.15 02:49,17.19,0.78,0.98,1.18,9.23,2.74,13.48,1.58
2020.09.15 02:50,14.07,2.15,1.17,2.54,14.61,3.32,3.08,1.96
2020.09.15 02:51,1.76,4.62,30.47,14.26,28.32,3.85,3.13,0.58
2020.09.15 02:52,16.73,2.89,1.95,1.96,1.56,4.49,11.92,1.57
2020.09.15 02:53,4.30,2.93,1.18,13.09,8.08,4.61,14.43,3.55
2020.09.15 02:54,13.36,7.89,5.68,1.18,1.65,14.85,1.38,1.57
2020.09.15 02:55,3.91,1.16,0.77,1.56,0.98,5.67,0.58,1.29
2020.09.15 02:56,4.10,16.92,13.44,13.68,14.45,1.35,1.96,1.70
2020.09.15 02:57,14.07,4.43,4.11,0.79,0.39,2.74,1.76,1.18
2020.09.15 02:58,4.30,1.35,4.30,0.78,1.73,1.37,3.13,5.56
2020.09.15 02:59,24.61,13.87,1.18,2.35,12.50,1.96,12.69,4.11
2020.09.15 03:00,3.71,0.96,2.74,1.73,0.59,2.31,14.65,5.76
2020.09.15 03:01,2.12,4.23,11.14,32.42,14.62,1.92,3.85,5.21
2020.09.15 03:02,27.35,2.89,0.39,1.37,1.73,3.27,1.17,5.08
2020.09.15 03:03,13.09,1.56,2.31,2.35,2.89,2.50,5.28,3.82
2020.09.15 03:04,2.34,0.96,1.17,1.35,0.59,3.72,0.20,1.16
2020.09.15 03:05,2.74,1.76,1.72,13.87,3.65,7.03,1.57,3.13
2020.09.15 03:06,4.50,4.39,22.11,29.11,14.23,2.69,1.17,1.16
2020.09.15 03:07,3.91,2.89,2.15,3.32,2.69,4.30,19.14,5.38
2020.09.15 03:08,12.11,2.54,2.89,0.77,1.73,1.37,4.69,0.98
2020.09.15 03:09,13.87,2.88,2.35,34.52,10.39,1.96,19.14,4.33
2020.09.15 03:10,0.96,2.35,1.92,0.77,1.17,2.69,2.55,0.98
2020.09.15 03:11,3.32,5.77,11.93,12.12,12.70,3.08,4.30,22.90
2020.09.15 03:12,16.99,2.15,1.16,1.17,1.17,3.08,1.97,0.57
2020.09.15 03:13,12.31,0.98,0.58,2.54,2.31,2.54,2.88,3.83
2020.09.15 03:14,0.40,0.78,2.93,1.15,1.15,0.98,2.94,1.57
2020.09.15 03:15,7.82,2.31,1.76,1.18,2.30,2.54,2.50,7.23
2020.09.15 03:16,1.37,3.13,9.42,14.26,23.44,1.57,1.16,7.30
2020.09.15 03:17,16.02,3.71,0.98,15.63,4.89,4.11,22.27,5.77
2020.09.15 03:18,2.15,3.41,2.15,1.73,1.76,1.92,2.15,6.66
2020.09.15 03:19,16.41,1.57,0.78,5.58,4.80,1.96,1.92,3.53
2020.09.15 03:20,2.74,1.76,1.35,1.35,1.54,0.59,2.54,5.58
2020.09.15 03:21,2.15,4.49,13.67,13.84,15.39,2.89,1.97,18.91
2020.09.15 03:22,17.19,1.96,3.52,0.98,0.96,1.76,6.92,5.41
2020.09.15 03:23,19.53,1.57,0.20,1.57,4.63,0.77,0.78,0.98
2020.09.15 03:24,3.71,2.50,2.20,2.15,1.35,2.84,2.35,4.11
2020.09.15 03:25,1.73,0.98,0.96,1.16,0.98,3.52,0.79,0.60
2020.09.15 03:26,1.73,5.77,8.46,12.88,13.09,2.54,1.92,1.54
2020.09.15 03:27,4.89,1.54,2.54,2.31,4.69,3.08,2.35,2.15
2020.09.15 03:28,2.94,1.15,1.18,5.28,1.92,3.26,9.61,3.44
